id,confucius_institute,partner_uni,date_est,location_name,nearest_city,country,status,ci_webpage,sources,gl3_id,country_id
259,Confucius Institute at Free International University of Moldova,,9/29/09,International University of Moldova,Chișinău,Moldova,Closed,http://english.hanban.org/node_10619.htm,"https://www.facebook.com/Confucius-Institute-in-the-Republic-of-Moldova-691897657505796/
http://cci.ulim.md/confucius-institute
https://www.moldpres.md/en/news/2020/01/23/20000571",92,189
260,Confucius Institute at Dornod University,,,Dornod University,Choibalsan,Mongolia,Closed,,"https://www.facebook.com/dornoduniversity/posts/1010726315632263/
https://www.facebook.com/dornoduniversity/posts/1664196290285259
https://www.facebook.com/dornoduniversity/posts/2862171360487740",65,239
261,Confucius Institute at Khovd university,,9/10/15,Khovd university,Khovd,Mongolia,Closed,http://english.hanban.org/node_45255.htm,"https://www.facebook.com/kunzinstitute/?ref=page_internal
http://herp.mn/pages/%D1%85%D0%BE%D0%B2%D0%B4-%D0%B8%D1%85-%D1%81%D1%83%D1%80%D0%B3%D1%83%D1%83%D0%BB%D1%8C%D0%B4-%D0%BE%D1%80%D0%BE%D0%BD-%D0%BD%D1%83%D1%82%D0%B3%D0%B8%D0%B9%D0%BD-%D0%B0%D0%BD%D1%85%D0%BD%D1%8B-%D0%BA%D0%BD%D0%B7%D0%B8%D0%B9%D0%BD-%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82-%D0%BD%D1%8D%D1%8D%D0%B3%D0%B4%D1%8D%D1%85%D1%8D%D0%B4-%D0%B1%D1%8D%D0%BB%D1%8D%D0%BD-%D0%B1%D0%BE%D0%BB%D0%BB%D0%BE%D0%BE",66,239
262,Confucius Institute at Mongolian State University of Education,,7/2/05,Mongolian State University,Ulaanbaatar,Mongolia,Open,http://www.msue.edu.mn/,"https://www.pressreader.com/mongolia/the-ub-post/20190826/281522227748660
https://mongol.china.com/news/3639/20160201/564676.html
http://www.elselt.mn/o/148
https://web.msue.edu.mn/Category/Post/6d61b781-148f-40c9-ae30-4dd5c1aa6d2f",67,239
263,Confucius Institute at National University of Mongolia,,5/2/08,National University of Mongolia,Ulaanbaatar,Mongolia,Open,http://num.edu.mn/,"http://en.people.cn/90001/90782/90873/6402451.html
https://www.facebook.com/profile.php?id=100057483428653
https://news.num.edu.mn/?s=%D0%9A%D2%AF%D0%BD%D0%B7",68,239
264,Confucius Institute at Abdelmalek Essaadi University,,9/22/16,Abdelmalek Essaadi University,Tetouan,Morocco,Closed,http://zhuanti.hanban.org/videolist/?cat=383&tag=en,"http://www.chinatoday.com.cn/ctarabic/2018/wmdslzdf/201810/t20181026_800145332.html
https://www.uae.ma/website/fr/content/institut-confucius-de-l%E2%80%99universit%C3%A9-abdelmalek-essaadi
https://www.icuae.ma/",712,081
265,Confucius Institute at Hassan II University,,1/18/13,Hassan II University,Casablanca,Morocco,Closed,http://ciuh2c.ma.chinesecio.com/,"http://www.chinatoday.com.cn/ctarabic/2018/wmdslzdf/201810/t20181026_800145332.html
https://www.facebook.com/ciuh2/posts/2067849650108732/
https://rue20.com/368874.html
12/4/2009",713,081
266,Confucius Institute at Mohammed V University,,12/4/09,Mohammed V University,Rabat,Morocco,Closed,http://ci-mu5.ma.chinesecio.com/,"http://www.chinatoday.com.cn/ctarabic/2018/wmdslzdf/201810/t20181026_800145332.html
http://www.xinhuanet.com/english/2019-09/28/c_138431784.htm",714,081
267,Confucius Institute at Eduardo Mondlane University,,10/1/12,Eduardo Mondlane University,Maputo,Mozambique,Closed,http://english.hanban.org/node_37935.htm,https://uem.mz/index.php/noticias-recentes/1281-uem-recebe-os-edif-cios-da-eca-e-do-instituto-confucius,77,107
268,Confucius Institute at the University of Namibia,,8/23/13,University of Namibia,Windhoek,Namibia,Closed,http://www.unam.na/,"https://www.facebook.com/Confuciusinstituteatunam/
https://www.chinadaily.com.cn/a/202108/02/WS61078b5da310efa1bd666079.html
https://www.imago-images.com/st/0060387281",60,108
269,Confucius Institute at Kathmandu University,,6/13/07,Kathmandu University,Dhulikhel,Nepal,Closed,http://www.ku.edu.np/ci,"http://ci.ku.edu.np/index11.php?go=home
https://finsindia.org/dragons-soft-power-through-higher-education-in-nepal/",102,198
270,Confucius Institute at Tribhuvan University,,,Tribhuvan University,Kirtipur,Nepal,Closed,http://zhuanti.hanban.org/videolist/?cat=787&tag=en,"https://myrepublica.nagariknetwork.com/news/confucius-institute-to-be-set-up-at-tu/
https://risingnepaldaily.com/main-news/nepal-china-sign-altogether-20-agreements-mous-with-list
https://kathmandupost.com/national/2019/10/15/government-has-agreed-to-promote-mandarin-in-nepali-schools-and-not-everyone-seems-pleased
https://www.nepalitimes.com/latest/nepal-china-agreements-are-stuck/",103,198
271,Confucius Institute at ZUYD University of Applied Sciences,,7/7/17,ZUYD University of Applied Sciences,Heerlen,Netherlands,Closed,https://www.confuciusmaastricht.nl/,"http://www.xinhuanet.com//english/2017-07/08/c_136426813.htm
https://www.facebook.com/confuciusmaastricht/",136,163
272,Groningen Confucius Institute,,5/24/11,Groningen,Groningen,Netherlands,Open,http://konfuzius-institut.uni-graz.at/de/,"https://www.confuciusgroningen.nl/
https://www.facebook.com/Groningen-Confucius-Institute-108520622564327/
https://www.rug.nl/about-ug/latest-news/news/archief2021/nieuwsberichten/confucius-instituut-groningen?lang=en
https://www.rug.nl/news/2011/05/077_11?lang=en",113,163
273,Confucius Institute at University of Canterbury,,11/1/09,University of Canterbury,Christchurch,New Zealand,Closed,http://www.ci.canterbury.ac.nz/,"https://www.canterbury.ac.nz/arts/research/ci/
https://www.facebook.com/Confucius-Institute-UC-2074145109494151/",79,095
274,Confucius Institute at Victoria University of Wellington,,6/1/10,Victoria University of Wellington,Wellington,New Zealand,Open,http://www.victoria.ac.nz/ci/,,80,095
275,Confucius Institute in Auckland,,6/29/05,Auckland,Auckland,New Zealand,Closed,http://ci.ac.nz/,https://www.facebook.com/CIAUCKLAND/,3,095
276,Confucius Institute at Nnamdi Azikiwe University,,2/1/09,Nnamdi Azikiwe University,Awka,Nigeria,Closed,http://english.hanban.org/node_10939.htm,"https://unizik.edu.ng/chinese-confucius-institute-ci/
https://unizik.edu.ng/unizik-ci-student-makes-top-30-in-the-chinese-proficiency-competition-involving-130-foreign-college-students/",99,135
277,Confucius Institute at the University of Lagos,,11/5/09,University of Lagos,Lagos,Nigeria,Closed,https://confuciusinstituteunilag.com/,https://www.vanguardngr.com/2009/11/confucius-institute-opens-at-unilag-for-teaching-of-chinese-language/,100,135
278,Confucius Institute in Bergen,,6/29/05,Bergen,Bergen,Norway,Closed,http://www.konfucius.no/,https://www.facebook.com/bergenkonfutse/posts/thank-you-for-your-interest-in-the-confucius-institute-in-bergen-and-our-activit/3544647595643331/,10,180
279,"Confucius Institute at University of Agriculture, Faisalabad",,2/12/15,University of Agriculture,Faisalabad,Pakistan,Closed,http://www.uaf.edu.pk/,"https://www.facebook.com/ciuaf/
https://ci.uaf.edu.pk/",255,200
280,Confucius Institute at University of Karachi,,11/29/13,University of Karachi,Karachi,Pakistan,Closed,http://www.uok.edu.pk/,"https://www.facebook.com/CIKU2018/
https://www.uok.edu.pk/admissions/2021/chinpro.pdf
https://www.ilmkidunya.com/admissions/admission-open-in-confucius-institute-university-of-karachi-26-jul-2021-14694.aspx",256,200
281,Confucius Institute at University of Sargodha,,10/8/19,University of Sargodha,Sargodha,Pakistan,Closed,http://zhuanti.hanban.org/videolist/?cat=786&tag=en,"https://su.edu.pk/office/pakistan-institite-of-china-studies/initiatives
https://www.facebook.com/SargodhaUniversity.official/posts/d41d8cd9/2650230611920151/
https://academiamag.com/mou-between-sargodha-university-and-confucius-institute/
https://su.edu.pk/page/global-outlook",257,200
282,Confucius Institute at University of the Punjab,,7/2/15,University of the Punjab,Lahore ,Pakistan,Open,http://www.pu.edu.pk/cipu/,"https://www.facebook.com/Confucius-Institute-Punjab-University-Lahore-237342330134321/
http://pu.edu.pk/home/department/90032/",258,200
283,Confucius Institute in Islamabad,,6/27/05,Islamabad,Islamabad,Pakistan,Closed,http://english.hanban.org/node_10868.htm,"http://www.xinhuanet.com/english/asiapacific/2021-03/18/c_139819968.htm
https://www.learningall.com/confucius-institute-numl-islamabad-chinese-language-course/
https://www.facebook.com/CLTAP/
http://www.numl.edu.pk/faculties/Confucius%20Institute",35,200
284,Confucius Institute at Al-Quds University,,12/16/19,Al-Quds University,Jerusalem,Palestinian Territory,Open,https://confucius.alquds.edu/,,13,148
285,Confucius Institute at University of Panama,,9/1/17,University of Panama,Panama City,Panama,Closed,http://zhuanti.hanban.org/videolist/?cat=424&tag=en,"http://en.people.cn/n3/2018/1127/c90000-9522657.html
https://www.facebook.com/Instituto-Confucio-de-la-Universidad-de-Panam%C3%A1-1568350386595952/",24,054
286,Confucius Institute at Papua New Guinea University of Technology,,2/19/21,Papua New Guinea University,Lae,Papua New Guinea,Closed,http://zhuanti.hanban.org/videolist/?cat=688&tag=en,"https://www.unitech.ac.pg/Confucius%20Institute
http://www.xinhuanet.com/english/asiapacific/2021-02/20/c_139755234.htm
https://www.thenational.com.pg/unitech-establishes-institute/",82,222
287,Confucius Institute at Catholic University of Peru,,7/1/05,Catholic University of Peru,Lima,Peru,Open,http://confucio.pucp.edu.pe/,https://confucio.pucp.edu.pe/,54,019
288,Confucius Institute at Catholic University of Santa Maria,,9/10/09,Catholic University of Santa Maria,Arequipa,Peru,Closed,http://english.hanban.org/node_8662.htm,"https://english.gdufs.edu.cn/info/1042/2397.htm
https://www.facebook.com/Instituto-Confucio-UCSM-102495391593043/
https://www.ucsm.edu.pe/instituto-confucio/",2,019
289,Confucius Institute at Ricardo Palma University,,7/1/05,Ricardo Palma University,Lima,Peru,Closed,http://www.urp.edu.pe/iconfucio/,,147,019
290,Confucius Institute at University of Piura,,9/25/09,Universidad de Piura,Piura,Peru,Open,http://www.confucio.udep.edu.pe/,"https://2020.udep.edu.pe/confucio/cursos/chino-mandarin-piura/ciclo-regular2021/
https://www.facebook.com/ConfucioUDEP/",148,019
291,Confucius Institute at Angeles University Foundation,,1/10/10,Angeles University Foundation,Angeles,Philippines,Open,http://www.auf.edu.ph/,"http://confucius.auf.edu.ph/
https://www.facebook.com/AUFconfucius/
https://www.fjnu.edu.cn/english/fb/59/c7187a260953/page.htm",1576,237
292,Confucius Institute at Ateneo De Davao University,,12/19/19,Ateneo De Davao University,Davao,Philippines,Closed,http://zhuanti.hanban.org/videolist/?cat=791&tag=en,"https://taborasj.wordpress.com/2019/12/20/from-the-matteo-ricci-program-to-the-addu-confucius-institute/
https://ateneo153.rssing.com/chan-66040213/latest.php",1577,237
293,Confucius Institute at Ateneo de Manila University,,10/3/06,Ateneo de Manila University,Quezon City,Philippines,Closed,http://www.ateneoconfucius.com/,"http://www.ateneoconfucius.com/the-institute
https://www.philstar.com/other-sections/starweek-magazine/2006/10/01/360766/confucius-institute-finds-home",1578,237
294,Confucius Institute at Bulacan State University,,2/28/09,Bulacan State University,Malolos,Philippines,Closed,http://www.bulsu.edu.ph/,"https://bulsu.edu.ph/confucius/home.html
https://www.facebook.com/CIBULSU/",1579,237
295,Confucius Institute at University of the Philippines,,10/12/15,University of the Philippines,Quezon City,Philippines,Closed,http://english.hanban.org/node_45251.htm,"https://www.facebook.com/CIUPD/
https://ci.upd.edu.ph/index.php?option=com_content&view=article&id=375&Itemid=546",1580,237
296,Confucius Institute at Adam Mickiewicz University,,6/16/08,Adam Mickiewicz University,Poznań,Poland,Open,http://www.konfucjusz.amu.edu.pl/,"http://konfucjusz.amu.edu.pl/index.php?page=info-pl
http://www.china.org.cn/international/cultural_sidelines/2008-06/16/content_15819464.htm",278,173
297,Confucius Institute at University of Gdansk,,,University of Gdansk,,Poland,Closed,,,279,173
298,Confucius Institute at Warsaw University of Technology,,9/23/19,Warsaw University of Technology,Warsaw,Poland,Open,https://www.confucius.pw.edu.pl/,https://asiaexplained.org/2019/10/new-confucius-institute-branch-in-warsaw-nowy-instytut-konfucjusza-w-warszawie/,280,173
299,Confucius Institute at the University of Wroclaw,,12/2/08,University of Wroclaw,Wrocław,Poland,Closed,https://ik.uni.wroc.pl/zh/,https://ik.uni.wroc.pl/,281,173
300,Confucius Institute in Krakow,,9/29/06,Krakow,Krakow,Poland,Open,http://www.instytutkonfucjusza.uj.edu.pl/,"https://en.uj.edu.pl/en_GB/news/-/journal_content/56_INSTANCE_SxA5QO0R5BDs/81541894/140595063
https://kzxy.bfsu.edu.cn/info/1088/1259.htm",282,173
301,Confucius Institute in Opole,,10/8/08,Opole,Opole,Poland,Closed,https://ik.po.opole.pl/,"https://ik.po.opole.pl/?page_id=19
https://english.bjut.edu.cn/info/1040/1125.htm",171,173
302,Confucius Institute at University of Aveiro,,4/23/15,University of Aveiro,Aveiro,Portugal,Open,http://www.ua.pt/iconfucio,,237,082
303,Confucius Institute at University of Coimbra,,7/4/16,University of Coimbra,Coimbra,Portugal,Closed,http://english.hanban.org/node_45703.htm,"https://www.chinadaily.com.cn/culture/2016-07/06/content_25984151.htm
https://www.uc.pt/en/international/iuc",238,082
304,Confucius Institute at University of Porto,,5/24/19,University of Porto,Porto,Portugal,Closed,http://zhuanti.hanban.org/videolist/?cat=722&tag=en,"https://www.porto.pt/en/news/the-university-of-porto-inaugurated-a-confucius-institute-and-classes-start-this-october
https://www.facebook.com/InstitutoConfucio.UP/",239,082
305,Confucius Institute at the University of Lisbon,,4/8/08,University of Lisbon,Lisbon,Portugal,Closed,http://www.confucio.ul.pt/,"https://www.confucio.ulisboa.pt/pt/
http://www.mandarinedu.org/English/news/10895.html
https://www.facebook.com/Instituto-Conf%C3%BAcio-da-Universidade-de-Lisboa-162993533868622/",240,082
306,Confucius Institute at the University of Minho,,6/30/05,University of Minho,Braga,Portugal,Open,http://www.confucio.uminho.pt/,http://www.confucio.uminho.pt/uploads/media_items/%E5%AD%A6%E5%AE%9E%E7%94%A8%E6%B1%89%E8%AF%AD-%E5%93%81%E9%9F%B5%E5%91%B3%E5%A4%A9%E6%B4%A5-%E5%8D%97%E5%BC%80%E5%A4%A7%E5%AD%A6-%E6%B1%89%E8%AF%AD%E6%A1%A5-%E7%9F%AD%E6%9C%9F%E7%BA%BF%E4%B8%8A%E9%A1%B9%E7%9B%AE%E6%8B%9B%E7%94%9F%E7%AE%80%E7%AB%A0-2.original.pdf,241,082
307,Confucius Institute at Babeay Bolyai University of Cluj-Napoca,,,University of Cluj-Napoca,,Romania,Closed,,,381,190
308,Confucius Institute at Lucian Blaga University of Sibiu,,6/29/05,Lucian Blaga University Rectorate,Sibiu,Romania,Closed,http://cisibiu.ro.chinesecio.com/,"https://www.facebook.com/confucius.sibiu
http://www.xinhuanet.com/english/2018-11/11/c_137597893.htm",382,190
309,Confucius Institute at Transilvania University of Brasov,,3/26/12,Transilvania University of Brasov,Brașov,Romania,Closed,http://confucius.unitbv.ro/,https://www.facebook.com/InstitutulConfuciusUNITBV/,384,190
310,Confucius Institute at the University of Bucharest,,11/22/13,University of Bucharest,Bucharest,Romania,Closed,http://www.confucius.unibuc.ro/,https://www.facebook.com/586139811537100/posts/the-confucius-institute-of-the-university-of-bucharest-institutul-confucius-din-/1378941088923631/,383,190
311,Confucius Institute at Amur State University of Humanities and Pedagogy,,,Amur State University of Humanities and Pedagogy,Komsomolsk-on-Amur,Russia,Closed,http://ciamgpgu.ru.chinesecio.com/,,1550,247
312,Confucius Institute at Blagoveshchensk National Pedagogical University,,,Blagoveshchensk National  University,Blagoveshchensk,Russia,Closed,http://www.sinocenter.ru/,,1536,247
313,Confucius Institute at Buryat State University,,7/6/07,Buryat State University,Ulan-Ude,Russia,Closed,https://ci-bsu.ru/en/,"https://ci-bsu.ru/en/ob-institute/
https://www.bsu.ru/news/24851/",1537,247
314,Confucius Institute at Far Eastern National University,,9/1/07,Far Eastern National University,Vladivostok,Russia,Closed,http://english.hanban.org/node_9114.htm,"https://www.rsuh.ru/en/faculties-departments-and-international-centers/confucius-institute/
https://www.dvfu.ru/en/news/en_fefu-news/fefu_confucius_institute_conducted_calligraphic_competition/
https://www.tellerreport.com/news/2020-02-24---confucius-institute-at-russian-far-east-federal-university-says-russians-have-increased-interest-in-chinese-.SkzrLvM-48.html",1538,247
315,Confucius Institute at Irkutsk State University,,9/8/07,Irkutsk State University,Irkutsk,Russia,Closed,http://confucius.dvgu.ru/,"http://www.confuci.irkutsk.ru/
https://twitter.com/isu_en/status/1274958226853974017",1539,247
316,Confucius Institute at Kazan Federal State University,,9/1/07,Kazan  State University,Kazan,Russia,Closed,https://kpfu.ru/eng/academic-units/humanities/institute-of-international-relations/structure/centers/confucius-institutes,http://www.china.org.cn/top10/2012-05/07/content_25252751.htm,1540,247
317,Confucius Institute at Krasnoyark State Pdeagogical University of V.P. Astafyev,,,Krasnoyark State Pdeagogical University of V.P. Astafyev,Krasnoyarsk,Russia,Closed,http://zhuanti.hanban.org/videolist/?cat=718&tag=en,,564,247
318,Confucius Institute at Lomonosov Moscow State University,,5/31/11,Lomonosov Moscow State University,Moscow,Russia,Closed,http://english.hanban.org/node_9112.htm,"https://ci.linguanet.ru/
https://linguanet.ru/en/cooperation/the-confucius-institute/",1541,247
319,Confucius Institute at Moscow State Linguistic University,,,Moscow State  University,,Russia,Closed,http://www.ci-mglu.ru/,,1542,247
320,Confucius Institute at Nizhny Novgorod State Linguistic University,,,Nizhny Novgorod State  University,,Russia,Closed,http://www.lunn.ru/confucius,,1543,247
321,Confucius Institute at Novosibirsk State University,,,Novosibirsk State University,,Russia,Closed,http://nsu.ru/CCoLC,,1544,247
322,Confucius Institute at Novosibirsk State University of Technology,,9/7/07,Novosibirsk State University of Technology,Novosibirsk ,Russia,Closed,http://www.confucius.nstu.ru/,https://confucius.nstu.ru/pages/istorija-sozdanija-missija-celi-zadachi,1551,247
323,Confucius Institute at Russian State University for the Humanities,,9/1/07,Russian State University for the Humanities,Moscow,Russia,Open,http://www.confucius-institute.ru/,,1545,247
324,Confucius Institute at Ryazan State University,,,Ryazan State University,Ryazan,Russia,Closed,http://www.rsu.edu.ru/confucius,,992,247
325,Confucius Institute at Saint-Petersburg State University,,,Saint-Petersburg State University,Saint Petersburg,Russia,Closed,http://www.ci.spbu.ru/,,1546,247
326,Confucius Institute at The Kalmyk State University,,4/24/09,The Kalmyk State University,Elista,Russia,Open,http://www.kalmsu.ru/,"http://www.kalmykia.net/tag/the-confucius-institute/
https://eng.kalmgu.ru/confucius-institute-on-the-basis-of-kalmsu/confucius-institute-at-kalmyk-state-university/",297,247
327,Confucius Institute at Tomsk State University,,5/28/08,Tomsk State University,Tomsk,Russia,Closed,http://confucius.tsu.ru/,,1547,247
328,Confucius Institute at Ural Federal University,,10/28/08,Ural  University,,Russia,Open,http://ci.urfu.ru/,"https://english.gdufs.edu.cn/info/1042/2397.htm
",1548,247
329,Confucius Institute at Volgograd State Pedagogical University,,,Volgograd State  University,,Russia,Open,http://www.confucius-vspu.ru/,,1549,247
330,Confucius Institute at University of Rwanda-College of Education,,,University of Rwanda-College,,Rwanda,Closed,http://ciurce.rw.chinesecio.com/,,27,109
331,Confucius Institute at National University of Samoa,,,National University of Samoa,,Samoa,Closed,http://zhuanti.hanban.org/videolist/?cat=687&tag=en,,47,007
332,Confucius Institute at University of the Republic of San Marino,,,University of the Republic of San Marino,San Marino,San Marino,Closed,http://www.istitutoconfuciosanmarino.sm/,,8,174
333,Confucius Institute at Sao Tome and Principe University,,,Sao Tome and Principe University,,Sao Tome and Principe,Closed,http://zhuanti.hanban.org/videolist/?cat=576&tag=en,,12,110
334,Confucius Institute at University of Jeddah,,,University of Jeddah,,Saudi Arabia,Closed,http://zhuanti.hanban.org/videolist/?cat=790&tag=en,,45,202
335,Confucius Institute at University of Dakar,,,University of Dakar,,Senegal,Open,http://confucius.ucad.sn/,,40,083
336,Confucius Institute at University of Novi Sad,,,University of Novi Sad,,Serbia,Closed,http://english.hanban.org/node_42256.htm,,229,175
337,Confucius Institute in Belgrade,,,Belgrade,,Serbia,Open,http://konfucije.fil.bg.ac.rs/,,19,175
338,Confucius Institute at University of Seychelles,,,University of Seychelles,,Seychelles,Closed,http://english.hanban.org/node_42056.htm,,28,124
339,Cofucius Institute at University of Sierra Leone,,,University of Sierra Leone,,Sierra Leone,Closed,http://english.hanban.org/node_42054.htm,,57,084
340,Confucius Institute at the Nanyang Technological University,,,Nanyang Technological University,,Singapore,Closed,http://www.ci.ntu.edu.sg/,,2,230
341,Confucius Institute at Comenius University,,,Comenius University,,Slovakia,Open,https://uniba.sk/konfuciov-institut/,,137,176
342,Confucius Institute for Business at Matej Bel University,,,Matej Bel University,Banska Bystrica,Slovakia,Closed,http://zhuanti.hanban.org/videolist/?cat=723&tag=en,,138,176
343,Confucius Institute in Bratislava,,6/29/05,Bratislava,,Slovakia,Closed,http://english.hanban.org/node_10516.htm,,6,176
344,Confucius Institute at the University of Ljubljana,,,University of Ljubljana,,Slovenia,Closed,http://www.ef.uni-lj.si/konfucijev_institut,,213,177
345,Confucius Institute at Durban University of Technology,,,Durban University of Technology,,South Africa,Closed,http://dut.za.chinesecio.com/,,129,111
346,Confucius Institute at Rhodes University,,,Rhodes University,,South Africa,Closed,http://www.ru.ac.za/confuciusinstitute,,130,111
347,Confucius Institute at Stellenbosch University,,,Stellenbosch University,,South Africa,Closed,http://www.ccs.org.za/,,131,111
348,Confucius Institute at the University of Cape Town,,,University of Cape Town,,South Africa,Closed,http://www.confucius.uct.ac.za/,,132,111
349,Confucius Institute at the University of Johannesburg,,,University of Johannesburg,,South Africa,Closed,http://english.hanban.org/node_44823.htm,,133,111
350,Confucius Institute of Traditional Chinese Medicine at the University of Western Cape,,,University of Western Cape,,South Africa,Closed,http://zhuanti.hanban.org/videolist/?cat=671&tag=en,,134,111
351,Confucius Institute at Andong National university,,9/1/12,Andong National university,Andong,South Korea,Closed,http://kongzi.andong.ac.kr/,"https://www.andong.ac.kr/main/html.do?menu_idx=216
http://kongzi.andong.ac.kr/",99,238
352,Confucius Institute at Cheju Halla College,,4/1/09,Cheju Halla College,Jeju City,South Korea,Closed,http://www.halla-c.ac.kr/main.html,https://www.chu.ac.kr/xboard/view.php?cms=&board_id=bWFpbl9lbmdfbm4=&sel_type=1&s_t=&s_w=&s_c=&key=&keyword=confucius&p=3&category=&no=335,120,238
353,Confucius Institute at Chungbuk National University,,9/1/06,Chungbuk National University,Cheongju,South Korea,Open,http://gongja.cbnu.ac.kr/,,100,238
354,Confucius Institute at Chungnam National University,,4/1/07,Chungnam National University,Daejeon,South Korea,Closed,http://www.cicnu.ac.kr/,https://www.cicnu.ac.kr/bbs/board.php?bo_table=notice,101,238
355,Confucius Institute at Daejin University,,1/14/08,Daejin University,Pocheon,South Korea,Closed,http://www.daejin-c.org/index.php,"https://sacbu.com/university/hrbnu/lecture-chinese-colors
https://sacbu.com/university/hrbnu/chinese-film-festival",102,238
356,Confucius Institute at Dong-A University,,12/1/06,Dong-A University,Busan,South Korea,Open,http://www.gongja.ac/,,103,238
357,Confucius Institute at Dongseo University,,4/1/07,Dongseo University,Busan,South Korea,Closed,http://www.dsuci.ac.kr/,http://www.dongseo.ac.kr/kr/index.php?pCode=MN2000197&mode=view&idx=83911,104,238
358,Confucius Institute at Hankuk University of Foreign Studies,,10/1/09,Hankuk University of Foreign Studies,Seoul,South Korea,Open,http://gongja.ac.kr/,https://www.gongja.ac.kr/html/05community_01notice.php,105,238
359,Confucius Institute at Hanyang University,,11/1/15,Hanyang University,Seoul,South Korea,Closed,http://www.hanyang.ac.kr/,https://kongzi.hanyang.ac.kr/,106,238
360,Confucius Institute at Honam University,,12/1/06,Honam University,Gwangju,South Korea,Closed,http://gongja.honam.ac.kr/,,107,238
361,Confucius Institute at Jeju National University,,10/28/16,Jeju National University,Jeju City,South Korea,Closed,http://zhuanti.hanban.org/videolist/?cat=190&tag=en,https://www.jejunu.ac.kr/ara/notice?s%5Bs%5D=subject&s%5Bq%5D=%EA%B3%B5%EC%9E%90%ED%95%99%EC%9B%90&page=1,108,238
362,Confucius Institute at Kangwon National University,,4/1/07,Kangwon National University,Samcheok,South Korea,Closed,http://english.hanban.org/node_10814.htm,http://www.kangwon.ac.kr/english/selectBbsNttView.do?key=1982&bbsNo=342&nttNo=138277,109,238
363,Confucius Institute at Keimyung University,,6/27/07,Keimyung University,Daegu,South Korea,Open,http://www.kongzi.ac.kr/,,110,238
364,Confucius Institute at Kyung Hee University,,4/1/11,Kyung Hee University,Yongin,South Korea,Closed,http://confucius.khu.ac.kr/,,111,238
365,Confucius Institute at Sehan University,,11/22/07,Sehan University,Yeongam,South Korea,Closed,http://english.hanban.org/node_10812.htm,http://eng.sehan.ac.kr/?page_id=37,112,238
366,Confucius Institute at Semyung University,,3/18/15,Semyung University,Jecheon,South Korea,Open,http://www.semyung.ac.kr/,http://kongzi.semyung.ac.kr/,113,238
367,Confucius Institute at Soon Chun Hyang University,,9/28/07,Soon Chun Hyang University,Asan,South Korea,Closed,http://english.hanban.org/node_10811.htm,"https://labs.sch.ac.kr/department/china.php
https://labs.sch.ac.kr/bbs/bbs/board.php?bo_table=chinaNews&wr_id=15",114,238
368,Confucius Institute at Wonkwang University,,9/1/14,Wonkwang University,Iksan,South Korea,Closed,http://confucius.wku.ac.kr/,,115,238
369,Confucius Institute at Woosong University,,11/2/06,Woosong University,Daejeon,South Korea,Closed,http://gongja.wsu.ac.kr/,https://gongja.wsu.ac.kr:444/main/index.jsp,116,238
370,Confucius Institute at Woosuk University,,2/1/09,Woosuk University,Jeonju ,South Korea,Closed,http://english.hanban.org/node_10825.htm,https://onekoreanetwork.com/2020/09/22/confucius-institute-part-2/,117,238
371,Confucius Institute at Yonsei University,,9/1/13,Yonsei University,Seoul,South Korea,Open,http://kongzi.yonsei.ac.kr/,,118,238
372,Confucius Institute at the University of Incheon,,8/28/09,University of Incheon,Incheon,South Korea,Open,http://www.inu.ac.kr/user/indexMain.do?siteId=ciui,http://www.inu.ac.kr/user/indexMain.do?siteId=ciui,119,238
373,Confucius Institute in Seoul,,11/21/04,Seoul,,South Korea,Open,http://www.cis.or.kr/,,53,238
374,Confucius Institute at The University of Las Palmas of Gran Canaria,,,Universidad de Las Palmas de Gran Canaria,,Spain,Closed,http://www.english.ulpgc.es/index.php?option=com_content&view=article&id=136,,1042,248
375,Confucius Institute at University of Castilla-la Mancha,,,University of Castilla-la Mancha,,Spain,Closed,http://confucioclm.uclm.es/instituto-confucio/,,1043,248
376,Confucius Institute at University of Zaragoza,,,University of Zaragoza,,Spain,Closed,http://zhuanti.hanban.org/videolist/?cat=381&tag=en,,1044,248
377,Confucius Institute at the University of Granada,,,University of Granada,,Spain,Open,http://institutoconfucio.ugr.es/,,1045,248
378,Confucius Institute at the University of Leon,,,University of Leon,,Spain,Open,http://fgulem.unileon.es/confucio/,,1046,248
379,Confucius Institute at the University of Valencia,,,University of Valencia,,Spain,Open,https://www.uv.es/uvweb/economy/en/life-campus/languages/confucius-institute-1285848978007.html,,1047,248
380,Confucius Institute in Barcelona,,,Barcelona,,Spain,Closed,http://english.hanban.org/node_10528.htm,,144,248
381,Confucius Institute in Madrid,,,Madrid,,Spain,Closed,http://www.confuciomadrid.es/,,534,248
382,Confucius Institute at Colombo University,,,Colombo University,,Sri Lanka,Closed,http://english.hanban.org/node_45632.htm,,109,204
383,Confucius Institute at the University of Kelaniya,,,University of Kelaniya,,Sri Lanka,Closed,http://english.hanban.org/node_10738.htm,,110,204
384,Confucius Institute at the University of Khartoum,,,University of Khartoum,,Sudan,Closed,http://english.hanban.org/node_10945.htm,,105,150
385,Confucius Institute at the Anton de Kom University of Suriname,,,Anton de Kom University ADEK,,Suriname,Closed,http://zhuanti.hanban.org/videolist/?cat=148&tag=en,,31,065
